Engine_Size_L,Fuel_Consumption_L_per_100km
4.48,13.65
2.97,10.53
4.86,14.49
4.14,13.2
1.42,8.22
5.39,14.12
4.43,13.56
4.54,14.07
1.58,7.78
3.03,10.47
2.67,8.8
5.17,15.53
3.9,13.7
4.7,13.31
3.0,11.2
2.02,8.33
3.5,11.68
1.29,6.28
4.72,14.14
3.84,13.31
4.41,14.06
2.6,10.91
5.37,16.51
5.02,15.28
4.5,15.01
1.88,8.52
3.1,11.4
1.2,6.58
1.69,7.89
4.07,12.51
4.35,14.2
5.35,14.94
2.47,10.01
2.67,9.81
3.11,11.65
1.85,8.67
1.58,8.79
3.14,11.43
2.02,7.52
4.01,12.79
2.97,9.82
4.75,14.07
4.15,14.11
2.41,9.79
4.75,13.95
4.62,13.48
2.74,10.12
2.3,8.35
4.07,12.52
1.63,7.9
1.9,9.04
1.03,6.82
4.54,12.47
3.99,12.98
4.17,13.22
4.51,14.17
3.07,11.84
3.56,10.51
1.63,7.32
1.52,7.84
4.01,11.79
3.12,11.87
3.54,12.06
4.44,14.3
3.86,12.12
3.49,12.23
3.52,12.45
2.37,9.44
1.14,6.8
2.97,10.75
1.97,7.86
2.84,10.21
4.84,14.51
2.05,8.86
1.26,7.56
2.27,8.38
2.32,9.11
3.98,13.72
3.51,11.26
4.53,13.4
3.99,12.91
2.83,10.83
4.66,14.23
1.75,8.83
1.1,7.13
1.41,7.77
4.25,13.7
3.08,12.33
1.73,7.78
3.25,9.9
1.69,8.87
4.13,12.79
3.01,10.74
2.71,10.89
2.36,8.23
3.84,11.63
2.63,8.81
1.39,6.68
1.53,7.78
5.33,16.0
5.09,15.32
4.15,12.2
2.2,7.42
5.36,15.76
4.5,13.58
4.23,13.58
3.02,11.15
2.23,9.07
1.43,7.78
5.06,15.23
3.05,11.1
1.91,7.85
2.38,9.19
3.61,12.08
1.8,8.59
4.85,14.38
4.41,14.03
4.24,13.14
2.94,10.45
3.82,12.96
3.63,10.71
3.92,11.79
1.38,6.2
2.87,8.86
1.19,6.31
3.22,11.62
2.48,9.36
1.65,7.88
1.47,8.06
3.64,12.9
1.77,7.96
5.16,16.18
3.61,12.03
2.56,9.16
3.66,11.68
1.1,5.61
5.31,15.05
3.17,10.78
4.52,14.45
1.37,8.27
3.19,10.16
3.21,11.35
5.22,14.75
3.57,12.19
3.13,10.85
2.2,7.74
2.49,10.16
3.34,10.99
2.98,10.25
1.1,5.86
4.72,13.92
5.03,15.3
1.63,7.58
3.49,11.92
1.49,7.64
4.03,13.71
2.27,8.85
3.97,11.77
4.27,14.08
4.46,13.57
1.48,8.12
5.12,15.46
2.04,8.49
1.17,6.94
3.5,12.99
2.67,11.29
4.73,14.42
4.64,14.27
2.43,10.12
5.29,15.02
2.31,9.38
3.32,11.32
2.15,9.03
5.21,14.86
1.74,6.91
1.2,5.44
2.96,9.83
5.47,15.65
5.01,14.79
4.37,14.85
5.01,15.69
5.02,14.37
3.33,11.6
2.42,9.14
4.47,13.63
3.98,12.87
2.68,10.37
1.43,7.04
4.36,14.27
2.18,8.15
5.22,15.42
2.08,10.37
1.55,7.68
4.74,15.32
1.69,7.89
1.81,8.46
3.7,12.11
4.94,14.7
1.88,7.74
2.4,9.63
4.5,13.32
5.37,16.19
3.25,11.9
1.65,7.98
1.06,6.3
2.03,8.87
1.59,7.42
4.05,13.51
1.55,6.34
3.28,11.03
4.12,11.77
3.62,11.0
1.9,9.17
4.62,14.71
4.22,12.8
4.33,12.52
1.59,5.69
1.56,7.19
5.17,16.9
2.79,10.48
2.35,8.9
3.2,11.38
3.98,11.75
5.3,15.4
2.29,9.19
5.16,15.24
1.11,7.1
3.5,11.95
3.85,12.92
1.48,6.93
1.63,8.29
2.89,11.46
5.35,15.07
3.68,11.54
5.2,16.25
4.62,14.01
3.1,11.78
4.53,13.65
1.08,7.47
1.49,7.49
4.73,14.54
4.59,15.08
2.05,8.37
3.39,10.87
3.73,11.92
4.9,15.04
3.71,11.17
2.86,10.76
2.68,9.62
2.92,11.22
3.93,11.1
4.9,14.23
3.04,9.65
2.12,8.21
2.06,8.8
4.36,13.45
4.67,14.09
1.47,7.27
1.3,7.13
3.67,11.45
1.66,8.22
4.71,14.76
2.4,9.6
1.65,8.1
5.14,15.45
1.74,9.27
2.28,9.05
1.69,7.64
1.52,6.98
1.1,5.88
1.25,6.08
1.79,7.46
1.24,6.82
3.66,12.29
4.06,12.97
2.77,9.66
2.43,10.01
3.27,11.71
4.94,14.71
4.83,14.16
1.2,7.13
1.82,8.23
2.07,7.7
2.12,8.72
3.57,12.05
2.87,9.79
1.22,6.95
2.68,9.02
3.36,12.29
1.46,8.14
4.75,14.25
1.23,7.09
5.16,13.73
1.45,6.56
4.8,14.32
5.06,14.39
5.41,16.29
4.61,15.41
4.51,13.13
3.89,12.02
